Model_1.1 Model_1.2 Model_1.3 Model_1.4 Model_1.5 Model_2 Inj_Fatal No._Inv_Veh Rear_End PctHV_B AvgSpdDiff_BA AvgSpdArrival_A StdHdw_A Vol_B Precipitation Weather_Category
1 1 1 1 15.04721947 15.82833629 1 1 0 1.394148544 12.07620733 56.66440623 6.512236354 16.18392519 6.074293455 1
1 1 1 1 4.496400088 27.193999800000004 1 1 0 5.315885837 11.28028357 82.55238781 6.7133453439999995 20.79334727 2.390159365 1
1 1 1 1 77.12622863 10.59465546 1 1 0 1.255068973 29.39412983 60.38372163 8.605435639 26.59079567 1.352891237 1
1 1 1 1 72.17331641 10.27214301 1 1 0 6.96272626 27.40785256 58.93346453 6.665237881 25.89179631 1.732851436 1
1 1 1 1 66.82927064 28.71851022 1 1 0 10.53954199 16.93404537 82.77770656 2.016962971 27.95660486 5.06140521 1
1 1 1 1 7.5090944760000005 35.06683774 1 1 0 3.7206440489999997 12.35098134 11.63433975 8.529771215 14.99829199 3.58649951 1
1 1 1 1 3.5272437539999997 25.42906487 1 1 0 12.88583311 23.86819483 65.23227363 0.246865791 27.79436365 6.092265915 1
1 1 1 1 22.86276449 34.83989562 1 1 0 9.168641769 30.24323893 20.97507962 5.422655739 3.5285208210000003 0.37102422 1
1 1 1 1 38.93430016 23.65164477 1 1 0 0.908298789 24.85425009 30.31251744 4.095684233 2.324706022 1.93487433 1
1 1 1 1 65.38366867 4.814382346 1 1 0 7.664898965 36.86779588 38.54731326 8.193383077 19.18521892 0.08363585400000001 1
1 1 1 1 54.88398963 14.90164751 1 1 0 0.432275688 26.40918207 26.50149496 4.615681992 25.82422087 3.549068192 1
1 1 1 1 14.95948568 4.023051223 1 1 0 11.66914421 39.10888534 63.29238064 1.764091707 33.05463535 2.413800276 1
1 1 1 1 38.01024262 4.329291083999999 1 1 0 3.065525381 39.57965426 81.54541372 3.611099195 7.279691757 0.455745104 1
1 1 1 1 64.55939868 13.76389606 1 1 0 21.57778912 22.00488695 68.30463187 5.231627689 15.92546834 5.883477525 1
1 1 1 1 42.82686289 17.128498399999998 1 1 0 19.90952314 9.870038471 1.3682604680000001 1.52498706 19.95169237 3.1808852969999997 1
1 1 1 1 66.16476898 25.22332519 1 1 0 13.26846076 38.94535529 65.02032956 0.719890059 16.96627991 4.774786009 1
1 1 1 1 64.73825157 18.01981374 1 1 0 12.59753998 9.481117911 73.41222933 2.733213985 12.75128841 2.907019135 1
1 1 1 1 42.45981563 15.62240745 1 1 0 9.465112282 14.34451716 69.54481235 0.15109076800000001 1.143069817 1.273244577 1
1 1 1 1 23.33546899 6.717288206 1 1 0 7.295018884 6.67336701 54.36430418 3.4113895569999997 10.49987809 6.650608853 1
1 1 1 1 49.25761521 20.1691051 1 1 0 8.534436165 0.545687689 6.2313400770000005 0.550637587 9.596960835 0.775036892 1
